订单号,支付状态,支付时间,发货状态,发货时间,物流状态,物流更新时间,退款状态,退款申请时间,商品SKU,商品名称,购买数量,库存,订单金额,客服备注
SO20260601001,已付款,2026-05-28 10:12:00,未发货,,待发货,,无,,SKU-A1,纯棉T恤,2,120,158.00,
SO20260601002,已付款,2026-05-31 22:40:00,未发货,,待发货,,无,,SKU-A2,运动短裤,1,8,79.00,客户催发货，说急用
SO20260601003,已付款,2026-05-30 09:00:00,已发货,2026-05-30 18:00:00,物流异常,2026-05-30 20:00:00,无,,SKU-B1,蓝牙耳机,1,45,199.00,
SO20260601004,已付款,2026-05-26 14:30:00,已发货,2026-05-26 19:00:00,运输中,2026-05-27 08:00:00,无,,SKU-B2,充电宝,1,3,99.00,
SO20260601005,已付款,2026-05-29 11:20:00,已发货,2026-05-29 20:00:00,已签收,2026-05-31 16:00:00,退款中,2026-05-29 21:00:00,SKU-C1,保温杯,1,60,68.00,质量问题，杯子漏水要求退款
SO20260601006,已付款,2026-05-31 08:00:00,已发货,2026-05-31 12:00:00,运输中,2026-05-31 18:00:00,退款失败,2026-05-30 10:00:00,SKU-C2,雨伞,1,200,39.00,
SO20260601007,已付款,2026-05-27 16:45:00,部分发货,2026-05-28 10:00:00,运输中,2026-05-28 12:00:00,无,,SKU-D1,零食大礼包,3,0,129.00,投诉发货太慢
SO20260601008,已付款,2026-05-31 19:00:00,已发货,2026-05-31 21:00:00,已签收,2026-06-01 09:00:00,无,,SKU-D2,笔记本,1,500,25.00,
SO20260601009,未付款,,未发货,,待发货,,无,,SKU-E1,机械键盘,1,15,299.00,
SO20260601010,已付款,2026-05-25 10:00:00,已发货,2026-05-25 15:00:00,超时,2026-05-25 16:00:00,无,,SKU-E2,鼠标垫,1,80,19.00,催发货
SO20260601011,已付款,2026-05-31 13:00:00,已发货,2026-05-31 17:00:00,运输中,2026-06-01 08:00:00,无,,SKU-F1,数据线,5,4,49.00,
SO20260601012,已付款,2026-05-30 20:00:00,未发货,,待发货,,无,,SKU-F2,手机壳,1,300,29.00,
SO20260601013,已付款,2026-05-28 09:30:00,已发货,2026-05-28 14:00:00,运输中,2026-05-28 15:00:00,退款中,2026-05-28 16:00:00,SKU-G1,行李箱,1,25,359.00,
SO20260601014,已付款,2026-06-01 08:30:00,已发货,2026-06-01 10:00:00,已签收,2026-06-01 12:00:00,退款异常,2026-06-01 11:00:00,SKU-G2,水杯,2,90,58.00,差评，说收到是假货
SO20260601015,已付款,2026-05-31 23:00:00,已发货,2026-06-01 07:00:00,运输中,2026-06-01 09:00:00,无,,SKU-H1,围巾,1,150,88.00,
